date,close,daily_invest,shares_bought,total_shares,total_invested,market_value,profit,return_on_invested_pct
2008-01-02,5163.14,100.0,0.019368058971865956,0.019368058971865956,100.0,100.0,0.0,0.0
2008-01-03,5315.44,100.0,0.01881311801092666,0.038181176982792615,200.0,202.94975538141517,2.949755381415173,1.4748776907075767
2008-01-04,5327.54,100.0,0.018770389335415597,0.05695156631820821,300.0,303.411747622907,3.4117476229070007,1.137249207635671
2008-01-07,5414.61,100.0,0.018468550828222165,0.07542011714643038,400.0,408.3705205022334,8.370520502233376,2.092630125558337
2008-01-08,5359.42,100.0,0.018658735460180393,0.09407885260661077,500.0,504.2080842369219,4.208084236921877,0.8416168473843744
2008-01-09,5494.3,100.0,0.018200680705458383,0.11227953331206915,600.0,616.8974398765015,16.897439876501494,2.8162399794169124
2008-01-10,5583.32,100.0,0.017910490532514707,0.13019002384458386,700.0,726.8925639319419,26.892563931941936,3.8417948474202657
2008-01-11,5550.7,100.0,0.01801574576179581,0.14820576960637968,800.0,822.6457653541316,22.64576535413164,2.830720669266462
2008-01-14,5604.01,100.0,0.017844365017193047,0.16605013462357274,900.0,930.5466149318479,30.5466149318479,3.3940683257608795
2008-01-15,5614.5,100.0,0.01781102502449016,0.1838611596480629,1000.0,1032.2884808440492,32.28848084404922,3.2288480844049117
2008-01-16,5423.98,100.0,0.01843664615282505,0.20229780580088796,1100.0,1097.2592527079003,-2.7407472920997407,-0.2491588447363413
2008-01-17,5261.19,100.0,0.019007106757216525,0.2213049125581045,1200.0,1164.3271929015737,-35.67280709842635,-2.9727339248688645
2008-01-18,5305.46,100.0,0.018848507009759756,0.24015341956786426,1300.0,1274.1243613805211,-25.875638619478877,-1.9904337399599181
2008-01-21,5038.25,100.0,0.01984816156403513,0.2600015811318994,1400.0,1309.9529661377921,-90.04703386220785,-6.431930990157708
2008-01-22,4662.67,100.0,0.02144693920007206,0.2814485203319715,1500.0,1312.3015722962734,-187.69842770372657,-12.513228513581776
2008-01-23,4919.94,100.0,0.020325451123387687,0.30177397145535917,1600.0,1484.7098331220798,-115.29016687792023,-7.205635429870016
2008-01-24,4991.08,100.0,0.020035743766880113,0.3218097152222393,1700.0,1606.178033451414,-93.82196654858603,-5.518939208740359
2008-01-25,4996.42,100.0,0.020014330260466492,0.3418240454827058,1800.0,1707.8964973307009,-92.10350266929913,-5.116861259405503
2008-01-28,4638.12,100.0,0.0215604598414875,0.3633845053241933,1900.0,1685.4209418342475,-214.57905816575249,-11.293634640302763
2008-01-29,4668.19,100.0,0.021421578813201694,0.384806084137395,2000.0,1796.3479139093456,-203.6520860906544,-10.182604304532717
2008-01-30,4663.37,100.0,0.021443719884975888,0.4062498040223709,2100.0,1894.4931485838035,-205.50685141619647,-9.786040543628404
2008-01-31,4589.11,100.0,0.02179071759012096,0.42804052161249184,2200.0,1964.3250381371024,-235.6749618628976,-10.712498266495341
2008-02-01,4509.18,100.0,0.02217698118061377,0.45021750279310563,2300.0,2030.1117592446162,-269.8882407553838,-11.734271337190593
2008-02-04,4888.85,100.0,0.02045470816245129,0.4706722109555569,2400.0,2301.0458385300744,-98.95416146992557,-4.123090061246904
2008-02-05,4880.22,100.0,0.020490879509530307,0.4911630904650872,2500.0,2396.983937349528,-103.01606265047212,-4.12064250601889
2008-02-13,4801.11,100.0,0.02082851673883748,0.5119916072039247,2600.0,2458.1280252628344,-141.8719747371656,-5.456614412967909
2008-02-14,4885.47,100.0,0.020468859700294956,0.5324604669042197,2700.0,2601.319637246558,-98.68036275344184,-3.654828250127473
2008-02-15,4845.42,100.0,0.020638045824716948,0.5530985127289366,2800.0,2679.994595547044,-120.0054044529561,-4.28590730189129
2008-02-18,4939.3,100.0,0.02024578381552042,0.5733442965444571,2900.0,2831.9194839220368,-68.08051607796324,-2.347604002688386
2008-02-19,5072.26,100.0,0.019715077697121202,0.5930593742415783,3000.0,3008.151341590588,8.15134159058789,0.27171138635293524
2008-02-20,5004.57,100.0,0.019981736692662906,0.6130411109342412,3100.0,3068.0071525481753,-31.992847451824673,-1.0320273371556388
2008-02-21,5052.93,100.0,0.01979049779039092,0.6328316087246321,3200.0,3197.653820672955,-2.346179327044865,-0.0733181039701547
2008-02-22,4894.18,100.0,0.02043243199065012,0.6532640407152822,3300.0,3197.19180278792,-102.8081972120799,-3.1153999155175693
2008-02-25,4728.78,100.0,0.021147103481236176,0.6744111441965184,3400.0,3189.141930453612,-210.85806954638792,-6.201707927834943
2008-02-26,4669.04,100.0,0.021417679008961157,0.6958288232054796,3500.0,3248.8526086993124,-251.14739130068756,-7.175639751448215
2008-02-27,4776.34,100.0,0.020936532993882345,0.7167653561993619,3600.0,3423.5150414292602,-176.48495857073976,-4.90235996029833
2008-02-28,4799.76,100.0,0.020834375052085935,0.7375997312514478,3700.0,3540.3016860714492,-159.69831392855076,-4.3161706467175875
2008-02-29,4819.84,100.0,0.02074757668304342,0.7583473079344912,3800.0,3655.1126886749785,-144.88731132502153,-3.812823982237412
2008-03-03,4944.53,100.0,0.020224369151365246,0.7785716770858565,3900.0,3849.67101450133,-50.328985498670136,-1.2904868076582088
2008-03-04,4831.59,100.0,0.020697120409637407,0.799268797495494,4000.0,3861.739129291254,-138.2608707087461,-3.4565217677186566
2008-03-05,4752.52,100.0,0.021041468526171378,0.8203102660216653,4100.0,3898.5409454732853,-201.45905452671468,-4.9136354762613355
2008-03-06,4780.68,100.0,0.02091752637700076,0.8412277923986661,4200.0,4021.6408825644553,-178.3591174355447,-4.2466456532272545
2008-03-07,4714.47,100.0,0.02121129204343224,0.8624390844420983,4300.0,4065.9431904297394,-234.0568095702606,-5.44318161791304
2008-03-10,4522.27,100.0,0.022112788488966823,0.8845518729310651,4400.0,4000.182398399968,-399.81760160003205,-9.086763672728004
2008-03-11,4526.58,100.0,0.022091733715078492,0.9066436066461435,4500.0,4103.9948169723,-396.0051830276998,-8.80011517839333
2008-03-12,4409.7,100.0,0.022677279633535163,0.9293208862796787,4600.0,4098.026312227499,-501.97368777250085,-10.912471473315232
2008-03-13,4253.07,100.0,0.02351242749355172,0.9528333137732304,4700.0,4052.466781809513,-647.5332181904869,-13.777302514691215
2008-03-14,4212.75,100.0,0.023737463652008784,0.9765707774252392,4800.0,4114.048542598177,-685.9514574018231,-14.290655362537985
2008-03-17,3949.56,100.0,0.02531927607125857,1.0018900534964978,4900.0,3957.024879687628,-942.9751203123719,-19.244390210456576
2008-03-18,3719.85,100.0,0.026882804414156487,1.0287728579106543,5000.0,3826.880715498947,-1173.1192845010528,-23.46238569002106
2008-03-19,3864.78,100.0,0.025874694031743074,1.0546475519423975,5100.0,4075.980765795939,-1024.019234204061,-20.078808513805114
2008-03-20,4007.18,100.0,0.0249552054062957,1.079602757348693,5200.0,4326.1625771925355,-873.8374228074645,-16.804565823220475
2008-03-21,4105.32,100.0,0.02435863708553779,1.1039613944342308,5300.0,4532.114791798736,-767.8852082012636,-14.488400154740821
2008-03-24,3935.13,100.0,0.025412121073509642,1.1293735155077405,5400.0,4444.231602079974,-955.7683979200256,-17.699414776296774
2008-03-25,4025.13,100.0,0.02484391808463329,1.1542174335923738,5500.0,4645.875218475672,-854.1247815243278,-15.5295414822605
2008-03-26,4034.86,100.0,0.024784007375720594,1.1790014409680944,5600.0,4757.105754104526,-842.8942458954743,-15.05168296241919
2008-03-27,3843.31,100.0,0.026019238625039354,1.2050206795931337,5700.0,4631.268028087086,-1068.7319719129137,-18.749683717770417
2008-03-28,3960.47,100.0,0.025249528465055918,1.2302702080581898,5800.0,4872.448250908218,-927.5517490917819,-15.992271536065205
2008-03-31,3808.97,100.0,0.02625381664859529,1.256524024706785,5900.0,4786.062314387403,-1113.9376856125973,-18.880299756145714
2008-04-01,3529.26,100.0,0.02833455171905725,1.2848585764258422,6000.0,4534.599979436668,-1465.400020563332,-24.423333676055535
2008-04-02,3440.75,100.0,0.029063430938022234,1.3139220073638644,6100.0,4520.877146837217,-1579.122853162783,-25.88725988791447
2008-04-03,3590.05,100.0,0.02785476525396582,1.3417767726178302,6200.0,4817.045702536641,-1382.9542974633587,-22.305714475215467
2008-04-07,3793.43,100.0,0.02636136688959596,1.3681381395074261,6300.0,5189.936262551655,-1110.063737448345,-17.620059324576907
2008-04-08,3847.75,100.0,0.025989214475992464,1.3941273539834187,6400.0,5364.253526289699,-1035.746473710301,-16.18353865172345
2008-04-09,3702.48,100.0,0.027008923748406473,1.4211362777318253,6500.0,5261.728645576529,-1238.2713544234712,-19.050328529591866
2008-04-10,3788.45,100.0,0.026396019480262378,1.4475322972120876,6600.0,5483.903731373133,-1116.0962686268667,-16.910549524649497
2008-04-11,3811.91,100.0,0.026233567948876022,1.4737658651609638,6700.0,5617.8628390657295,-1082.1371609342705,-16.151300909466727
2008-04-14,3577.15,100.0,0.027955215744377506,1.5017210809053412,6800.0,5371.881564560541,-1428.118435439459,-21.00174169763911
2008-04-15,3638.46,100.0,0.02748415538442088,1.5292052362897621,6900.0,5563.952084030848,-1336.0479159691522,-19.363013274915254
2008-04-16,3544.54,100.0,0.028212405558972392,1.5574176418487344,7000.0,5520.3291282385135,-1479.6708717614865,-21.138155310878382
2008-04-17,3405.8,100.0,0.029361677138998177,1.5867793189877326,7100.0,5404.25300460842,-1695.7469953915797,-23.88376049847295
2008-04-18,3259.41,100.0,0.030680399213354567,1.6174597182010872,7200.0,5271.964380101806,-1928.0356198981945,-26.77827249858603
2008-04-21,3255.69,100.0,0.030715455095540422,1.6481751732966277,7300.0,5365.947429950098,-1934.052570049902,-26.493870822601394
2008-04-22,3276.7,100.0,0.030518509475997192,1.6786936827726249,7400.0,5500.57559034106,-1899.42440965894,-25.667897427823515
2008-04-23,3434.47,100.0,0.029116574027433638,1.7078102568000586,7500.0,5865.423092672097,-1634.5769073279034,-21.794358764372046
2008-04-24,3751.29,100.0,0.026657496487874837,1.7344677532879333,7600.0,6506.491538231491,-1093.5084617685088,-14.38826923379617
2008-04-25,3803.79,100.0,0.026289569087673083,1.7607573223756063,7700.0,6697.551095279107,-1002.4489047208926,-13.018816944427181
2008-04-28,3748.06,100.0,0.02668046936281703,1.7874377917384234,7800.0,6699.424089703115,-1100.575910296885,-14.109947567908787
2008-04-29,3812.13,100.0,0.026232053996059945,1.8136698457344833,7900.0,6913.945229019796,-986.054770980204,-12.481705961774736
2008-04-30,3966.07,100.0,0.025213876709185665,1.838883722443669,8000.0,7293.141565072162,-706.8584349278381,-8.835730436597977
2008-05-05,4079.21,100.0,0.024514550611515466,1.8633982730551844,8100.0,7601.192869429438,-498.80713057056164,-6.158112723093357
2008-05-06,4043.81,100.0,0.0247291539414562,1.8881274269966406,8200.0,7635.228570563285,-564.7714294367152,-6.887456456545305
2008-05-07,3856.9,100.0,0.0259275584018253,1.9140549853984659,8300.0,7382.318673183343,-917.681326816657,-11.05640152791153
2008-05-08,3980.88,100.0,0.025120073953497718,1.9391750593519637,8400.0,7719.6232102730455,-680.3767897269545,-8.099723687225646
2008-05-09,3989.83,100.0,0.02506372451959106,1.9642387838715547,8500.0,7836.978827054245,-663.0211729457551,-7.800249093479472
2008-05-12,4024.95,100.0,0.024845029130796656,1.9890838130023514,8600.0,8005.962893143814,-594.0371068561863,-6.907408219257983
2008-05-13,4030.57,100.0,0.024810386620254702,2.013894199622606,8700.0,8117.141544172888,-582.8584558271123,-6.699522480771403
2008-05-14,4131.89,100.0,0.024201999569204404,2.0380961991918105,8800.0,8421.18930447865,-378.81069552134977,-4.30466699456079
2008-05-15,4126.88,100.0,0.024231380607141473,2.0623275797989518,8900.0,8510.978442520698,-389.0215574793019,-4.3710287357224935
2008-05-16,4087.45,100.0,0.02446513107193972,2.0867927108708915,9000.0,8529.660866049226,-470.33913395077434,-5.225990377230827
2008-05-19,4073.59,100.0,0.024548371338303558,2.111341082209195,9100.0,8600.737919076555,-499.26208092344496,-5.486396493664225
2008-05-20,3849.91,100.0,0.02597463317324301,2.137315715382438,9200.0,8228.473145808,-971.5268541919995,-10.560074502086946
2008-05-21,3955.91,100.0,0.0252786337404036,2.162594349122841,9300.0,8555.028611638538,-744.9713883614622,-8.010445036144754
2008-05-22,3901.81,100.0,0.025629131095568466,2.1882234802184097,9400.0,8538.032257350993,-861.967742649007,-9.169869602649005
2008-05-23,3843.87,100.0,0.02601544797300637,2.214238928191416,9500.0,8511.246588907139,-988.7534110928609,-10.407930643082741
2008-05-26,3708.14,100.0,0.02696769809122633,2.2412066262826422,9600.0,8310.707939183716,-1289.292060816284,-13.430125633502954
2008-05-27,3718.91,100.0,0.02688959937185896,2.268096225654501,9700.0,8434.84573454878,-1265.1542654512195,-13.04282747887855
2008-05-28,3806.97,100.0,0.026267609148482914,2.2943638348029842,9800.0,8734.574288179916,-1065.425711820084,-10.871690936939638
2008-05-29,3708.52,100.0,0.026964934798787657,2.321328769601772,9900.0,8608.694168643564,-1291.305831356436,-13.043493246024607
2008-05-30,3734.0,100.0,0.02678093197643278,2.348109701578205,10000.0,8767.841625693018,-1232.1583743069823,-12.32158374306982
2008-06-02,3755.85,100.0,0.02662513146158659,2.3747348330397915,10100.0,8919.147822672501,-1180.8521773274988,-11.691605716113852
2008-06-03,3757.3,100.0,0.026614856412849653,2.401349689452641,10200.0,9022.591188180408,-1177.4088118195923,-11.543223645290123
2008-06-04,3675.06,100.0,0.027210440101658205,2.4285601295542993,10300.0,8925.104189719823,-1374.895810280177,-13.348503012428903
2008-06-05,3613.75,100.0,0.02767208578346593,2.4562322153377654,10400.0,8876.209168176849,-1523.7908318231512,-14.65183492137645
2008-06-06,3603.41,100.0,0.027751490948851227,2.4839837062866166,10500.0,8950.811727070257,-1549.188272929743,-14.754174027902312
2008-06-10,3326.57,100.0,0.030060993756331596,2.514044700042948,10600.0,8363.14567782187,-2236.854322178129,-21.102399265831405
2008-06-11,3256.88,100.0,0.030704232271376284,2.5447489323143246,10700.0,8287.941902675879,-2412.0580973241213,-22.542599040412348
2008-06-12,3199.28,100.0,0.03125703283238729,2.5760059651467118,10800.0,8241.364364174573,-2558.635635825427,-23.69107070208729
2008-06-13,3096.49,100.0,0.03229463037180808,2.6083005955185197,10900.0,8076.57671101714,-2823.42328898286,-25.90296595397119
2008-06-16,3048.64,100.0,0.03280151149364963,2.6411021070121694,11000.0,8051.76952752158,-2948.23047247842,-26.802095204349275
2008-06-17,2925.24,100.0,0.03418522924614733,2.6752873362583167,11100.0,7825.8575275162775,-3274.1424724837225,-29.49677903138489
2008-06-18,3093.87,100.0,0.03232197862224334,2.70760931488056,11200.0,8376.991231029519,-2823.0087689704815,-25.205435437236446
2008-06-19,2854.87,100.0,0.03502786466634208,2.742637179546902,11300.0,7829.872604773064,-3470.1273952269357,-30.709091993158722
2008-06-20,2903.52,100.0,0.0344409544277291,2.777078133974631,11400.0,8063.30190355802,-3336.69809644198,-29.269281547736668
2008-06-23,2826.27,100.0,0.03538232369872659,2.8124604576733576,11500.0,7948.7726177084805,-3551.2273822915195,-30.880238106882775
2008-06-24,2860.47,100.0,0.03495928990690341,2.847419747580261,11600.0,8144.958765360909,-3455.0412346390913,-29.784838229647338
2008-06-25,2999.83,100.0,0.03333522232926533,2.8807549699095265,11700.0,8641.775181383695,-3058.224818616305,-26.138673663387223
2008-06-26,3010.76,100.0,0.0332142050512163,2.9139691749607426,11800.0,8773.261833204806,-3026.738166795194,-25.650323447416902
2008-06-27,2825.07,100.0,0.03539735298594371,2.9493665279466863,11900.0,8332.166897106346,-3567.8331028936536,-29.981790780618933
2008-06-30,2795.79,100.0,0.03576806555571055,2.985134593502397,12000.0,8345.809445168066,-3654.1905548319337,-30.45158795693278
2008-07-01,2715.85,100.0,0.03682088480586189,3.021955478308259,12100.0,8207.177785763484,-3892.8222142365157,-32.172084415177814
2008-07-02,2736.01,100.0,0.036549574014714856,3.0585050523229738,12200.0,8368.10040820618,-3831.899591793819,-31.40901304749032
2008-07-03,2816.71,100.0,0.03550241238892183,3.0940074647118956,12300.0,8714.921765928644,-3585.078234071356,-29.14697751277525
2008-07-04,2772.4,100.0,0.036069831193190016,3.1300772959050858,12400.0,8677.82629516726,-3722.1737048327395,-30.01752987768338
2008-07-07,2920.74,100.0,0.03423789861473463,3.1643151945198205,12500.0,9242.14196124182,-3257.8580387581806,-26.062864310065446
2008-07-08,2958.41,100.0,0.033801940907446905,3.1981171354272675,12600.0,9461.341714619382,-3138.6582853806176,-24.909986391909666
2008-07-09,3058.91,100.0,0.03269138353204246,3.23080851895931,12700.0,9882.752486729822,-2817.2475132701784,-22.183051285591958
2008-07-10,2998.95,100.0,0.033345004084763,3.264153523044073,12800.0,9789.033207933022,-3010.966792066978,-23.523178063023266
2008-07-11,2971.0,100.0,0.03365870077415012,3.297812223818223,12900.0,9797.800116963941,-3102.199883036059,-24.048061108806664
2008-07-14,3007.54,100.0,0.033249765589152595,3.3310619894073756,13000.0,10018.302175622259,-2981.697824377741,-22.93613711059801
2008-07-15,2908.61,100.0,0.034380683556750474,3.365442672964126,13100.0,9788.760213010188,-3311.2397869898123,-25.276639595342075
2008-07-16,2786.24,100.0,0.03589066268519582,3.401333335649322,13200.0,9476.930993119566,-3723.0690068804342,-28.205068233942686
2008-07-17,2740.44,100.0,0.03649049057815533,3.437823826227477,13300.0,9421.149926346827,-3878.8500736531732,-29.164286268068974
